state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,temperature,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltMSL,gpsAltAGL,gpsVelocityN,gpsVelocityE,gpsVelocityD,epochTime,satellites,gpsLock,loopcount,timestamp,cx,cy,targetGpsLat,targetGpsLong,desiredServoPos1,actualServoPos1,desiredServoPos2,actualServoPos2,desiredServoPos3,actualServoPos3,desiredServoPos4,actualServoPos4,trajA,trajB,trajC,trajD
0,-0.09668,0.037598,-0.995117,0.007469,-0.422997,-0.33992,24621.58203,23089.59961,34198,871.059814,0,1257.191895,-33351.78516,19394.92969,-60657.54297,-0.120449,0.084163,-0.007474,0.989117,0,0,0,0,0,0,329394784,-1069118528,1394976,-56,-97,15,1369394,1718896757,12,1,437799,12098661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.091309,0.032715,-0.99707,0.037987,-0.361961,-0.416214,24621.58203,23242.1875,34582.51953,871.059814,0,1257.191895,-33350.16406,19574.68359,-60230.68359,-0.120369,0.08417,-0.007454,0.989126,0,0,0,0,0,0,329394784,-1069118528,1395010,-45,-40,-1,1369428,1718896757,12,1,437800,12098686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.083496,0.024414,-0.998047,-0.091713,-0.24752,0.491684,24090.57617,22668.45703,35003.66406,871.093018,0,1256.880005,-33941.02344,18926.28125,-59776.30859,-0.120491,0.084147,-0.007473,0.989113,0,0,0,0,0,0,329394784,-1069118528,1395010,-45,-40,-1,1369428,1718896757,12,1,437801,12098711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.070312,0.031738,-0.998047,-0.206154,-0.24752,0.888412,21801.75781,22827.14844,34466.55469,871.02832,0,1257.487793,-36509.35547,19107.7207,-60380.04688,-0.120691,0.084115,-0.007533,0.989091,0,0,0,0,0,0,329394784,-1069118528,1395030,-98,66,-3,1369449,1718896757,12,1,437802,12098736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.068848,0.054199,-0.99707,-0.274818,-0.468773,0.522202,21783.44727,21160.88867,33996.58203,871.02832,0,1257.487793,-36527.0625,17196.30273,-60922.28125,-0.120794,0.084135,-0.007619,0.989076,0,0,0,0,0,0,329394784,-1069118528,1395030,-98,66,-3,1369449,1718896757,12,1,437803,12098761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.078125,0.064941,-0.995605,-0.099342,-0.491661,0.270432,24334.7168,23199.46289,33825.68359,871.035889,0,1257.416504,-33675.65234,19516.32813,-61068.88672,-0.120837,0.084165,-0.007674,0.989068,0,0,0,0,0,0,329394784,-1069118528,1395082,12,-43,-39,1369500,1718896757,12,1,437804,12098786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.083984,0.071777,-0.99707,0.007469,-0.361961,0.636642,24951.17188,23071.28906,34552,871.035889,0,1257.416504,-32980.4375,19377.81055,-60264.9375,-0.120955,0.08417,-0.007722,0.989053,0,0,0,0,0,0,329394784,-1069118528,1395082,12,-43,-39,1369500,1718896757,12,1,437805,12098811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.07666,0.069336,-0.994629,0.099022,-0.24752,-0.538284,24328.61328,22454.83398,34259.03125,871.060303,0,1257.186523,-33677.69141,18671.00977,-60600.49609,-0.120823,0.084143,-0.00773,0.989071,0,0,0,0,0,0,329394784,-1069118528,1395092,-66,-50,-35,1369510,1718896757,12,1,437806,12098836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.07373,0.046387,-0.996582,0.38131,-0.300926,-0.84346,24053.95508,22668.45703,34863.28125,871.036865,0,1257.408569,-33982.83594,18924.46289,-59931.58203,-0.120649,0.084115,-0.007646,0.989096,0,0,0,0,0,0,329394784,-1069118528,1395092,-66,-50,-35,1369510,1718896757,12,1,437807,12098861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.068359,0.03125,-0.999023,0.38131,-0.278038,-0.515396,24542.23633,22900.39063,35479.73438,871.036865,0,1257.408569,-33433.02344,19196.54688,-59244.73438,-0.120558,0.084074,-0.007552,0.989111,0,0,0,0,0,0,329394784,-1069118528,1395081,35,46,-11,1369499,1718896757,12,1,437808,12098886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
